Starting server
{"level":30,"time":1636116657578,"pid":29507,"hostname":"D11-Dheeraj.varshney","msg":"Server listening at http://0.0.0.0:9999"}
🚀 Server ready at http://0.0.0.0:9999/graphql
DATADOG TRACER CONFIGURATION - {"date":"2021-11-05T12:50:58.932Z","os_name":"Darwin","os_version":"20.6.0","architecture":"x64","version":"1.5.0","lang":"nodejs","lang_version":"14.15.1","enabled":true,"service":"graphql-server-example","agent_url":"http://127.0.0.1:8126","debug":false,"sample_rate":1,"sampling_rules":[],"tags":{"service":"graphql-server-example","version":"1.0.0","runtime-id":"c0174051-aa8f-4b6f-9b84-749f964f9f99"},"dd_version":"1.0.0","log_injection_enabled":false,"runtime_metrics_enabled":false,"profiling_enabled":false,"integrations_loaded":["http","https","graphql@15.6.0","fs","pino@6.13.3","find-my-way@4.3.3","fastify@3.21.5","net","dns"]}
{"level":30,"time":1636116671349,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1","req":{"method":"POST","url":"/graphql*","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65358},"msg":"incoming request"}
{"level":30,"time":1636116671352,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1","msg":"Route POST:/graphql* not found"}
{"level":30,"time":1636116671361,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1","res":{"statusCode":404},"responseTime":11.682809829711914,"msg":"request completed"}
{"level":30,"time":1636116672881,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2","req":{"method":"GET","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65361},"msg":"incoming request"}
{"level":30,"time":1636116672892,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-2","res":{"statusCode":200},"responseTime":11.548595190048218,"msg":"request completed"}
{"level":30,"time":1636116697702,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-3","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116697703,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-3","res":{"statusCode":204},"responseTime":0.9446821212768555,"msg":"request completed"}
{"level":30,"time":1636116697705,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-4","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116697728,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-4","res":{"statusCode":200},"responseTime":23.360202074050903,"msg":"request completed"}
{"level":30,"time":1636116697740,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-5","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116697749,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-5","res":{"statusCode":200},"responseTime":8.4790940284729,"msg":"request completed"}
{"level":30,"time":1636116698844,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-6","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116698850,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-6","res":{"statusCode":200},"responseTime":6.499058961868286,"msg":"request completed"}
{"level":30,"time":1636116699826,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-7","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116699833,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-7","res":{"statusCode":200},"responseTime":6.749659061431885,"msg":"request completed"}
{"level":30,"time":1636116700848,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-8","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116700854,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-8","res":{"statusCode":200},"responseTime":5.6201019287109375,"msg":"request completed"}
